product_id,product_name,category,catalog_price
P100,Northstar Wireless Earbuds,Electronics,79.0
P101,Northstar Wi-Fi 6 Router,Electronics,129.0
P102,EverHome Air Fryer 5L,Home Appliances,145.0
P103,WorkPro Ergonomic Office Chair,Furniture,219.0
P104,PixelCraft Inkjet Printer,Office Equipment,189.0
P105,PeakTrail Hiking Backpack 45L,Outdoor,96.0
P106,CleanBrew Espresso Machine,Kitchen,249.0
P107,LumaGlow Table Lamp,Home Decor,42.0
P108,AquaPure Water Filter,Home Appliances,110.0
P109,SoundPeak Bluetooth Speaker,Electronics,88.0
P110,FitPulse Smartwatch,Wearables,159.0
P111,ComfyNest Memory Foam Pillow,Home Furnishing,36.0
P112,RapidCharge Power Bank,Electronics,49.0
P113,TravelMate Cabin Suitcase,Travel,135.0
P114,ChefEdge Knife Set,Kitchen,68.0
P115,AirCool Tower Fan,Home Appliances,124.0
P116,StudyLite Desk Lamp,Office Equipment,54.0
P117,TrailSafe Camping Tent,Outdoor,172.0
P118,PrintMax Laser Toner Pack,Office Equipment,59.0
P119,FreshSip Blender,Kitchen,92.0
